epic,camp,glat,glon,ev,teff,teff_err,logg,logg_err,meh,feh,alpham,vmag,jk,numax,dnu,fdnu,kappa_m,mass,mass_err,kappa_r,radius,radius_err,ecc,ang_mom,tot_energy,alpha_flag,fdnu_flag
211404684,[17],30.89804944109433,215.26899073114816,RGB,4531.5127,7.37093,2.057065,0.025163904,-0.38168,-0.38432,0.102932,12.77862375741719,0.7750005722045987,15.861,2.1675363752733534,1.0268856610540211,2.071953042778997,1.4413027897595962,0.0873811821285952,20.045543566674294,17.76136244997294,0.3753954341804997,0.6004516694032357,-0.0018346123623566,-2.299023025311606,1,0.0
248607398,[1],54.50070232503309,243.8677985473867,RC,4635.468,6.8767147,2.4485655,0.019488275,0.19529,0.18189,-0.045112,9.234337128532575,0.7020001411437997,40.839,4.364486764656304,0.9981965752735192,2.1515248452902807,1.5484502730671923,0.3478479979134421,12.730011580553727,11.408076668224224,1.2637178358415386,0.6492982819522124,0.0709781670217666,-2.058212706259785,1,0.0
227806819,[17],8.88822012784928,8.388376468235194,RGB,4659.0244,10.691649,2.39635,0.028096141,-0.057266,-0.066859,-0.036803998,13.603592248195385,0.7659997940063015,31.193,4.170151262925032,1.0334836294243457,1.1503182064348023,0.8342015400967872,0.0422911190539729,10.650588114530416,9.568809773975492,0.1952655996418534,-999.0,-999.0,-999.0,1,0.0
205168477,[8],16.382284725269383,0.717026409815233,RC,4829.7026,9.513096,2.462911,0.025164247,-0.22481,-0.23048,0.077353,13.185799192647448,0.8840007781982919,30.752,4.267350272038311,0.9970444560837174,1.0051727838042686,0.7693639287717079,0.1621459846640866,10.027134561594448,9.172207611127408,0.9409343058391928,0.0,0.0,0.0,1,1.0
246061897,[15],-66.04530466661082,83.18634030698601,RGB,4801.29,7.919098,3.1106277,0.020256886,0.13599,0.13511,0.0024350006,11.035933191943007,0.6480007171630806,166.342,13.425208178882851,1.016598175483012,1.6239603911574916,1.2320344632087652,0.0494809137027498,5.479991973263402,4.997993998709277,0.0951894904716095,0.932679242442736,0.0003470708859845,-2.5506889767445524,1,0.0
247366028,[14],-12.600589447621145,180.9674834195285,RC,4911.042,9.530439,2.4442232,0.024673084,-0.28096,-0.28636,0.060896,12.935864458892214,0.7439994812012003,33.619,4.164609505652687,0.9987144432282842,1.447808161432509,1.1362712264690538,0.0724277074083418,11.509495307968956,10.616465264644614,0.2830635465400307,0.0,0.0,0.0,1,0.0
211620269,[2],28.76971035924964,210.2656244121225,RGB,4755.664,14.125766,2.2914133,0.03656734,-0.46035,-0.47918,0.254165,12.867285029713106,0.5880002975463992,26.306,3.270887100954273,1.029754470975641,1.8228713617593424,1.3632744106717576,0.1296926700173911,14.59969451512811,13.252145300302978,0.4204132736705039,0.6117775609857922,0.0333343040721551,-2.5401336624695534,2,0.0
204726572,[12],13.41556252908151,0.3451789202568989,RGB,4690.94,14.499408,2.491315,0.037107658,-0.34594,-0.36306,0.235285,13.613399482366647,0.7899999618530007,37.328,4.641188839019771,1.0350468462002305,1.2848161847329758,0.9413287698605116,0.0920710786972922,10.289548159912279,9.276050024107512,0.4266326251894211,-999.0,-999.0,-999.0,2,0.0
212422128,[3],46.69133047038264,320.87827986432285,RC,4788.993,8.495955,2.366426,0.023491519,-0.19197,-0.19427,0.050927,9.575930228054151,0.6479997634887695,28.152,,,,,,,,,0.7835870092109707,-0.0743616466272959,-2.167174960834439,1,2.0
251530651,[6],58.82625760597869,319.60908480235275,RGB,4715.302,18.178558,2.1765687,0.051405802,-0.97757,-0.97747,0.27850503,14.937042592672674,0.664999961853102,24.862,3.5670815854081246,1.045250930617747,1.0879521817038527,0.8033126269039799,0.0663798261121335,11.601924587223728,10.48628443559774,0.3210793339440342,-999.0,-999.0,-999.0,2,0.0
205157710,[8],16.1007789209652,0.8675409369139828,RGB,4514.498,8.843983,2.2001064,0.029484756,-0.47424,-0.4784,0.240565,13.597926047995989,0.9259996414184997,19.198,2.7520507888363634,1.0365802521582357,1.4138260364509103,0.9779590928015952,0.0898700646844659,15.050923886271793,13.310817553447958,0.4375029169897558,-999.0,-999.0,-999.0,2,0.0
247501073,[12],-12.143835794293604,179.9365523474088,RGB,4412.827,6.00444,2.1991544,0.01986314,0.12208,0.10674,0.006325001,12.871038762281747,0.9609994888305486,20.13,2.651513840814057,1.0310281816515927,1.8915138341909266,1.2644317456311194,0.191517293758463,17.001061528429837,14.865219581914156,1.104745929212651,0.0,0.0,0.0,1,0.0
211624656,[15],30.29551798638701,210.9347925802948,RGB,4432.1387,7.1205244,1.9701192,0.026490193,-0.50803,-0.51367,0.268045,12.812438087592106,0.8000001907348189,11.623,1.8781265932829403,1.0360686081918582,1.4464687523533084,0.973284006146484,0.1372022502640479,19.565392953230756,17.144786642607603,1.108947814234906,0.6888166230470324,-0.0594403754514655,-2.3270036521672157,2,0.0
211385716,[14],31.22878233179448,215.8310112753116,RGB,4723.1274,8.38059,2.3478582,0.025041113,-0.34282,-0.34657,0.088853,12.873592120792548,0.7010002136231002,30.702,3.975768288871715,1.0352047978160597,1.3276069937828945,0.9827081058166468,0.207135096246024,11.533061228434274,10.43268912972115,1.086434882535019,0.2519084429626346,-0.0929476656743557,-2.402664251656944,1,0.0
211384259,[11],32.2752520034385,216.434564284471,RGB,4924.6753,8.903736,3.135663,0.021328408,0.041768,0.03585,0.0077090003,11.819601157437635,0.6010007858276101,172.497,13.841906002410544,1.0091113646554009,1.6025620258671172,1.2629663102932704,0.0455769278050684,5.3457644201464865,4.937822287347345,0.0762801703488291,0.6505663821215699,-0.0171699731345192,-2.3052930239933094,1,0.0
201491210,[3],59.10841307428552,270.2225326175253,RGB,4706.2373,7.6707273,2.9380631,0.021714788,-0.031774,-0.040678,0.146435,12.633074834719817,0.6500005722046005,135.87,,,,,,,,,0.9099882107545656,-0.0068704310338716,-2.5885435128205714,2,2.0
211639522,[11],30.43300892677426,210.7368949176948,RGB,4705.937,15.409767,2.34657,0.04162034,-0.62354,-0.63221,0.30932498,14.541221541312122,0.6879997253418004,33.534,4.3295869312605655,1.0384655543590933,1.230053539794783,0.9055317759941176,0.0417226866652308,10.622151544278417,9.591187613699065,0.1935104639926468,-999.0,-999.0,-999.0,2,0.0
247500950,[4],-11.312097730836609,180.55487824412987,RGB,4734.311,8.016504,2.5112295,0.022698501,-0.12491,-0.12801,0.0354713,12.948179444782134,0.8169994354248011,37.707,4.158849939081825,1.0260540145916528,2.0541243595141765,1.5258871814125108,0.0849394849174657,12.944805860904337,11.723594057823645,0.2264822062547384,0.6345245047573841,0.0665788740296649,-2.100763605377112,1,0.0
206402319,[2],-47.33005892810331,54.36661327179999,RC,4625.991,7.043079,2.3843443,0.020642873,0.067139,0.062683,0.021804601,10.662740765201189,0.6799993515014684,29.303,3.7297192859630166,1.0014941519489515,1.49034035551082,1.0693088299571245,0.0915507533460952,12.507769054192211,11.197448773382966,0.4321409885183254,0.0,0.0,0.0,1,0.0
248724653,[13],54.90432721720836,238.1876805893129,RGB,4765.3193,8.124653,2.9294991,0.02231468,-0.082546,-0.08832,0.019392502,9.288293074688662,0.6669998168945384,115.023,10.362307402198496,1.0267230920548065,1.512801603584021,1.13482919822316,0.0347427634611292,6.36050807594311,5.779292162862975,0.0746279885127661,0.6577490355775967,-0.0017371428212115,-2.080744525689934,1,0.0
204944202,[17],16.161291881054993,359.4648041708006,RGB,4273.3525,10.700194,1.9813118,0.032588355,-0.025029,-0.032042,0.116657004,14.083267821685109,0.957999229431099,15.554,2.11722236381848,1.0277080013991695,2.1464174191822964,1.3673439647626042,0.1983352152838974,20.602940596100005,17.727618957892034,0.9564449198703098,-999.0,-999.0,-999.0,2,0.0
211358096,"[16, 5, 18]",32.58292447372615,217.17409364857207,RGB,4831.767,9.522854,2.7835221,0.026386319,-0.39092,-0.3992,0.100601,12.911331726357796,0.5980005264281996,73.7,7.537882533924681,1.0310196805187253,1.421211762702963,1.0884996272723233,0.062721322233074,7.701739377874258,7.046584249235508,0.1932662644525724,0.7682941301209918,0.0696056615598597,-2.096070864439352,1,0.0
204320310,[13],12.118961043918864,359.1983727702509,RC,4637.8047,7.779772,2.502513,0.02131882,0.175,0.1718,0.0300465,13.538820511619633,0.9799995422363192,32.738,4.0570623066355065,0.9996844947056808,1.4844429600188167,1.0691600319695451,0.1243574900561597,11.80997152771446,10.586244434535,0.5790275323235549,0.6219378285196742,-0.0447066951757465,-2.2320692894650622,1,0.0
212364586,[8],46.5419434772103,313.0746442658416,RGB,4906.107,9.740882,2.8055468,0.025874166,-0.38634,-0.395,0.075521,9.668294442537697,0.6670002937316903,73.844,7.412911575733206,1.025969374526674,1.528425072209329,1.1977334902890835,0.0699232025117624,7.979168481318568,7.356360131446932,0.1905374728412175,0.6446235756625406,0.0271954529265843,-2.1344842303668266,1,0.0
231365192,[14],11.176344054470311,359.8315753567324,RC,4735.5713,9.110726,2.4881434,0.023780515,0.018082,0.017114,0.052168,13.576328704224567,0.9210004806518999,32.238,4.774271811184094,0.9948472205009572,0.7391447570295752,0.549286071824476,0.0473087923807916,8.39796132823871,7.60671069556297,0.2497273799070953,0.0,0.0,0.0,1,1.0
247580067,[3],-10.92957612048479,180.07075623596776,RGB,4308.0444,6.1235547,1.7384398,0.023220807,-0.23536,-0.24127,0.056566,12.84772252581754,1.01300048828125,6.219,1.2617679535567496,1.0459132502194066,1.087670850700246,0.7013394396098339,0.2257201933048032,23.194319327542473,20.038193039999108,3.1283310566026805,0.6218887051642008,0.0247164929543847,-2.171332833191518,1,1.0
211425629,[13],32.80307668043911,215.89632742435464,RGB,4838.8228,8.781582,2.9035914,0.023354577,-0.17134,-0.17753,0.07617,12.907702611066368,0.6290006637573029,105.318,9.70341432305773,1.023554581820993,1.5103002646507586,1.1592667839407818,0.0375004128145673,6.641612191035698,6.081072919413715,0.0821654257157792,0.8452686312623302,0.0239803912905456,-2.5559592515930123,1,0.0
204556257,[12],13.225797974712648,359.5599256159023,RC,4861.971,12.662744,2.7057202,0.026043858,0.29107,0.27989,0.0069790017,13.656320936246317,0.7890005111695011,63.348,5.380803205699965,0.994289471376141,3.475874444589417,2.6871576293362693,0.2067166582265645,12.991483670823195,11.92344554568162,0.3506950835891904,-999.0,-999.0,-999.0,1,0.0
210803907,[1],-28.41231085366688,167.4885459612566,RGB,4714.5615,8.3839445,2.4865842,0.025353033,-0.3714,-0.37026,0.103218004,9.798672367293584,0.7459998130798384,35.41,4.352874030722711,1.0345966654427372,1.4175134059528558,1.0464046219582854,0.0845324753396753,11.096698584617814,10.028853357613,0.377980513739486,0.6532374558848437,-0.0178553059154147,-2.184245833127286,1,0.0
211627934,[15],29.93950203618516,210.700979837746,RGB,4750.7334,7.430912,2.9265742,0.01926314,0.23882,0.22863,0.0198925,12.906129631113673,0.6429996490479013,137.261,11.491309787559484,1.0173996761905353,1.6998755844049855,1.269312747837556,0.046062809559426,6.17203179040569,5.599449379637295,0.0961775332020338,0.0,0.0,0.0,1,0.0
204973550,[2],16.459354205361844,359.40631016569694,RGB,4476.287,9.160028,2.44858,0.0269309,-0.014427,-0.023993,0.10775,12.740730284268302,0.85700035095212,40.822,4.654195120463622,1.0329911026376457,1.6617216580217327,1.1348688676423426,0.1076970230562792,11.189873232002407,9.854190805518414,0.3157791769366403,0.0,0.0,0.0,2,0.0
247669542,[6],-11.32821586382988,178.9189197451005,RC,4807.6445,8.77876,2.4012694,0.02434991,-0.26805,-0.2762,0.095947,12.989995228897346,0.7550001144409997,31.767,4.092532432570259,1.001115477789726,1.3098268267933149,0.9956871836859272,0.125922944199495,11.261908761453771,10.278151539311889,0.5926413319680416,0.3064999061679027,0.0946101292114278,-2.434565597958997,1,0.0
228963639,"[16, 5]",60.150598934788825,290.76097221314706,RC,5137.1123,12.948601,2.4248278,0.031909358,-0.80044,-0.8156,0.26758498,12.716307237543386,0.5220003128052007,28.278,3.832530944125253,0.9937327177492358,1.2013157786741424,1.0086634577411635,0.2019531949639177,11.431347082970005,10.784345173237956,1.0191057909363086,0.7469785672290306,-0.027105085279635,-2.5444501451952,2,0.0
211390903,[17],31.28339064271302,215.7538684422534,RGB,4610.985,7.177875,2.515407,0.021827888,-0.058046,-0.0573,0.059116002,12.932835602946952,0.6710004806518022,51.118,5.7455745054909695,1.0327921918451124,1.4048873733791416,1.0030962104911216,0.0710038223652935,9.194476208486805,8.217896871007955,0.2610852854391751,0.0,0.0,0.0,1,0.0
246178907,[11],-57.32073928044392,69.85732819969182,RGB,4805.954,8.984961,2.9339516,0.025488492,-0.36889,-0.37307,0.257455,11.080226035752068,0.6519994735717809,104.584,9.95991375693733,1.0290094187726715,1.332377297772474,1.012295147504594,0.0309548767354175,6.259997410665867,5.712165701450688,0.0609291963267402,0.0,0.0,0.0,2,0.0
212587733,[5],50.84205328257692,318.26091338324613,RC,4740.658,7.7107863,2.4805448,0.02092598,0.055024,0.055017,0.053342,9.750558930322601,0.6099996566772496,40.325,4.198163170823141,0.996495071117618,2.4195781938770646,1.800976793042525,0.1585411787050639,13.585505682395278,12.312095062508568,0.3828810101270308,-999.0,-999.0,-999.0,1,0.0
210417838,[10],-27.99170636174842,177.66897904899025,RGB,4820.061,9.235162,2.491703,0.026322342,-0.43754,-0.44341,0.06232,9.795581235680727,0.7670001983642587,41.03,4.610811995669565,1.0309569239880978,1.7516554497926111,1.3367124796364944,0.0887575360013913,11.459528509170871,10.472005349755053,0.2931229531915511,-999.0,-999.0,-999.0,1,0.0
211723153,[4],29.14372005152719,208.69690821913832,RC,4939.005,9.932139,2.540681,0.02565974,-0.3629,-0.37181,0.085916996,11.843332085529493,0.6050004959106712,34.037,3.68379419397425,0.9962819817076832,2.454291701274084,1.9426559562504613,0.305459070659609,14.892946098651656,13.77644584637517,1.0591756969827273,0.4491853126995583,-0.2528588802212623,-1.952130771168352,1,0.0
211382928,[13],30.86510169654592,215.6910671693235,RGB,4795.6084,7.951626,3.0156677,0.020570809,0.10126,0.094473,0.040631,12.949812159253652,0.6530008316040004,144.941,11.775518736874268,1.018489692892918,1.81512843336764,1.3746224886533052,0.0590546679725284,6.20656372560666,5.657309174197681,0.1081314970388856,0.7216460439000847,0.0321339984418261,-2.4617575628932182,1,0.0
211440105,[16],32.718276775631175,215.55889629160723,RGB,4908.046,13.362507,2.7400615,0.03450913,-0.63394,-0.63515,0.14008501,14.800241958664397,0.6319999694824006,74.926,7.116768346657203,1.029202252838309,1.879403869189072,1.4736473574043198,0.0292674198199077,8.783891241570956,8.09987097419327,0.0634571703006368,-999.0,-999.0,-999.0,1,0.0
210944729,[4],-22.751851074688297,170.61109609134638,RC,4550.5312,6.4659038,2.3147976,0.01939968,0.19263,0.18282,0.009516001,9.793622183260949,0.7750000953674299,30.324,3.735807804881816,1.0018964352283877,1.6408737019193034,1.1486264575440162,0.0819770861105892,12.901419560217777,11.4552714761822,0.3586268209093552,0.669880216574365,-0.1055771747043423,-1.963318301846934,1,0.0
212368183,[6],44.116225663670654,326.07803693757046,RGB,4632.3267,7.166449,2.6446617,0.02114134,0.015613,0.017964,0.0201315,9.727836988661998,0.7039999961853098,62.7,6.636164326217051,1.0307362220294232,1.4567595952162469,1.0473628732860814,0.1143654538694206,8.453826662841958,7.573380342387792,0.357707354948459,0.6167951457514786,0.0338977663827034,-2.50608405225279,1,0.0
220176759,[8],-63.60066176512102,130.3054147320423,RGB,4685.6724,8.218776,2.3919663,0.025404574,-0.38037,-0.39491,0.082149,9.857984013479205,0.6550002098083505,29.97,3.707732750527213,1.0325525639765438,1.6326020127001257,1.1941220729446151,0.0613859558374644,12.944639433329606,11.663066648935802,0.2270976886895266,0.5449214787600692,-0.0690213652737377,-2.2999673725145877,1,0.0
206057777,[2],-53.93156598149041,48.42453116490943,RGB,4562.094,7.698679,2.0579386,0.026295327,-0.47419,-0.47165,0.121203,11.54967090848437,0.7459993362426811,16.076,2.3760434944535858,1.0352200528664728,1.494067567702997,1.0498496288886696,0.0630557882841262,16.907885029008476,15.03170484416473,0.4003693156016524,0.0,0.0,0.0,1,0.0
210922109,[15],-24.89014796927724,168.78545019223574,RGB,4554.4473,6.6884046,2.496818,0.02053841,0.067805,0.058114,0.018747602,9.801822601978746,0.7810001373291096,44.501,4.849082071359565,1.0296123981458465,1.8269428555841776,1.2805277710080802,0.0723482211100474,11.237527359835477,9.982181025841747,0.1997485636341202,0.0,0.0,0.0,1,0.0
211603935,[12],30.69109778138961,211.4942006741955,RGB,4882.4395,10.701996,2.4377854,0.02876354,-0.49173,-0.50185,0.233305,12.966207369444646,0.6219997406005984,39.957,4.700007765237054,1.0284953348960448,1.4984356956487757,1.165745995712114,0.0895693819510096,10.74028445777356,9.878046310458233,0.2745028201354604,0.6744813268000849,-0.1450416109242617,-1.9035535997567132,2,0.0
248450613,[14],49.03500630452806,245.9838661667526,RGB,4824.2305,9.164283,2.6563451,0.025799446,-0.39273,-0.39926,0.09968,9.331862677434469,0.6150002479553187,55.3,5.994085780399618,1.0310771288078433,1.5015416042613665,1.147334258480316,0.0387280592542211,9.13901278565396,8.355071075540131,0.1214425184977034,-999.0,-999.0,-999.0,1,0.0
212413629,[1],44.61428583444647,328.3109425792327,RGB,4606.1177,7.338437,2.4532986,0.022900395,-0.16437,-0.16447,0.060593,9.721278395553881,0.7259998321533203,31.909,4.1102144299533405,1.035796791469703,1.3047744827978194,0.9301404212919993,0.1018502019002066,11.215129583037655,10.018637208166004,0.5206597921784518,0.8415969959065706,-0.0180812491840332,-2.505280601788764,1,0.0
