epic,apogee,gaia_source,camp,ra,dec,glat,glon,ev,teff,teff_err,logg,logg_err,meh,meh_err,feh,feh_err,alpham,alpham_err,alpha_flags,vmag,vmag_err,jmag,kmag,jk,j_k_err,numax,numax_err,dnu,dnu_err,fdnu,fdnu_err,fdnu_flags,kappa_m,kappa_m_err,mass,mass_err,kappa_r,kappa_r_err,radius,radius_err,para,para_err,ecc,ecc_err,ang_mom,ang_mom_err,tot_energy,tot_energy_err,gaia_binary_flag
246014011,2M23410016-0907359,2435831676191514624,12,355.250703,-9.126654,-65.49,76.88,RGB,4503,7.2,2.17,0.025,-0.338,0.007,-0.337,0.0082,0.235,0.0062,2,12.16,0.793,10.2,9.47,0.74,0.03,22.14,0.295,3.18,0.072,1.04,0.0014,0,1.22,0.12,0.84,0.125,13.0,0.614,11.48,0.542,0.56,0.018,0.256,0.0005,-1.522,0.0111,-1.343,0.0005,0
247388158,2M05034696+2118030,3409118063430356992,13,75.945667,21.300859,-12.1,181.11,RC,4966,10.6,2.61,0.025,-0.152,0.0066,-0.147,0.0077,0.002,0.0065,1,14.09,0.897,11.92,11.1,0.81,0.03,45.54,0.631,4.84,0.037,0.994,0.0006,0,1.97,0.102,1.57,0.1,11.55,0.238,10.71,0.221,0.28,0.022,0.177,0.0031,-2.282,0.0092,-1.173,0.005,0
220408286,2M00430382+0452374,2554305119236373504,8,10.765924,4.877082,-57.93,119.0,RC,4834,8.7,2.54,0.023,-0.162,0.0062,-0.175,0.0072,0.039,0.0058,1,10.93,0.769,9.33,8.72,0.61,0.033,32.55,2.45,4.34,0.149,0.996,0.0042,0,1.12,0.295,0.85,0.268,10.27,1.046,9.39,0.957,0.86,0.023,0.105,0.0005,-2.034,0.0022,-1.238,0.0011,0
212442296,2M13304767-1358050,3609688122709622784,"[6, 17]",202.698656,-13.968059,47.81,317.23,RGB,4654,7.7,2.53,0.023,-0.19,0.0064,-0.192,0.0076,0.107,0.0057,1,11.24,0.81,9.44,8.75,0.68,0.033,47.69,0.755,5.42,0.039,1.031,0.0005,0,1.44,0.08,1.04,0.069,9.65,0.207,8.66,0.185,1.1,0.034,0.171,0.0006,-2.005,0.0049,-1.238,0.0009,0
211809226,2M08274608+1726495,662068113464702720,5,126.942039,17.447088,28.89,207.08,RGB,4512,6.8,2.18,0.021,0.046,0.0062,0.043,0.0076,-0.013,0.0049,1,9.48,0.552,7.46,6.7,0.76,0.027,25.24,0.633,2.85,0.081,1.023,0.0051,0,2.8,0.382,1.93,0.377,18.48,1.149,16.33,1.016,1.31,0.092,0.08,0.0012,-2.149,0.0162,-1.219,0.0044,1
246328440,2M23151464-0229498,2637415927574201856,12,348.811041,-2.497192,-56.29,75.75,RGB,4693,8.1,2.58,0.024,-0.247,0.0066,-0.288,0.0077,0.164,0.0061,2,12.18,0.836,10.4,9.72,0.68,0.032,25.71,0.457,3.69,0.032,1.023,0.003,0,1.05,0.067,0.77,0.059,11.23,0.279,10.12,0.252,0.57,0.018,0.433,0.0006,-1.707,0.0047,-1.218,0.0062,0
220341497,2M00582372+0330501,2551509988880174080,8,14.598839,3.513923,-59.31,126.33,RGB,4569,7.3,2.52,0.024,-0.231,0.0066,-0.242,0.0079,0.245,0.0058,2,10.9,1.173,9.02,8.31,0.71,0.048,40.87,0.328,4.94,0.082,1.034,0.0005,0,1.31,0.093,0.92,0.099,9.93,0.339,8.83,0.302,1.33,0.04,0.262,0.0005,-1.558,0.0073,-1.348,0.0011,0
247426874,2M04594705+2136564,3412108528899461120,13,74.946063,21.615688,-12.67,180.29,RGB,4779,10.7,2.29,0.03,-0.498,0.0083,-0.5,0.0094,0.087,0.0084,1,14.08,0.831,11.79,10.94,0.85,0.028,24.77,0.35,3.08,0.068,1.031,0.0016,0,1.93,0.189,1.45,0.212,15.49,0.718,14.09,0.653,-0.28,0.113,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1
210843001,2M04100323+2031278,51963061264371328,4,62.513471,20.524403,-22.32,173.43,RC,4782,7.9,2.52,0.021,0.097,0.0056,0.101,0.0068,-0.025,0.0048,1,10.5,0.588,8.4,7.61,0.79,0.026,36.78,1.764,4.31,0.017,0.998,0.0009,0,1.65,0.238,1.24,0.181,11.74,0.57,10.68,0.519,1.41,0.022,0.058,0.0005,-2.044,0.001,-1.247,0.0004,0
211756108,2M08264073+1641362,653001849819279232,5,126.669741,16.693405,28.37,207.76,RC,4522,6.2,2.36,0.019,0.258,0.0055,0.254,0.0069,0.005,0.0041,1,9.51,0.621,7.75,7.08,0.67,0.031,30.75,0.637,3.76,0.081,1.0,0.0005,0,1.67,0.178,1.16,0.174,12.94,0.619,11.45,0.548,1.87,0.021,0.214,0.0002,-1.567,0.0037,-1.344,0.0003,0
220662924,2M01141680+1030047,2579976310563183616,8,18.57004,10.501312,-51.96,132.07,RC,4601,6.8,2.38,0.02,0.129,0.0057,0.126,0.0071,0.017,0.0045,1,10.9,1.047,8.96,8.23,0.73,0.046,30.15,1.247,3.78,0.01,0.999,0.0006,0,1.53,0.191,1.09,0.136,12.5,0.521,11.15,0.465,1.13,0.017,0.204,0.0004,-1.561,0.0075,-1.359,0.0012,0
248419763,2M10401557+0020407,3807254419302166016,14,160.064914,0.344653,48.67,247.84,RGB,4693,7.6,2.76,0.021,-0.01,0.006,-0.02,0.0072,0.045,0.0051,1,10.62,0.9,8.76,8.06,0.7,0.04,71.93,0.626,7.09,0.092,1.024,0.0006,0,1.69,0.098,1.23,0.106,8.49,0.232,7.65,0.209,1.74,0.022,0.235,0.0003,-1.915,0.0014,-1.254,0.0012,0
206420485,2M22153044-0617289,2625901085893901312,3,333.876863,-6.29138,-47.53,55.1,RC,4934,10.3,2.38,0.028,-0.519,0.0071,-0.524,0.0078,0.106,0.0077,1,11.51,0.783,9.95,9.37,0.59,0.032,30.47,0.61,4.27,0.079,1.041,0.0127,0,0.97,0.093,0.77,0.101,9.92,0.417,9.16,0.386,0.67,0.017,0.049,0.0012,-1.661,0.0078,-1.343,0.0016,0
247521142,2M05000567+2221272,3412308914893548544,13,75.023633,22.357574,-12.17,179.72,RC,4860,9.4,2.41,0.025,-0.321,0.0067,-0.324,0.0076,0.048,0.0066,1,14.1,0.853,11.96,11.16,0.8,0.028,31.79,0.721,4.16,0.135,0.997,0.0028,0,1.23,0.18,0.95,0.205,10.91,0.751,10.01,0.689,0.31,0.024,0.257,0.0054,-2.822,0.0677,-1.052,0.0126,0
201393756,2M11202376-0103198,3797665612756054016,1,170.099007,-1.05551,54.31,261.41,RGB,4659,8.0,2.57,0.025,-0.363,0.0069,-0.373,0.008,0.19,0.0065,2,11.19,0.798,9.36,8.67,0.69,0.033,45.91,0.737,5.27,0.087,1.034,0.0007,0,1.44,0.118,1.04,0.12,9.83,0.361,8.83,0.324,1.07,0.032,0.289,0.0004,-1.588,0.0152,-1.324,0.0014,0
212457629,2M13400192-1338141,3606924362794210816,"[6, 17]",205.008005,-13.637259,47.56,320.57,RC,4613,9.7,2.36,0.026,0.061,0.0079,0.058,0.0098,0.03,0.0064,1,11.22,0.838,9.08,8.28,0.8,0.035,25.9,1.083,3.53,0.066,0.999,0.002,0,1.28,0.187,0.91,0.158,12.34,0.692,11.03,0.619,1.02,0.028,0.33,0.0003,-1.524,0.0054,-1.325,0.0002,0
230500000,2M17033229-2153026,4127554079302603776,11,255.88457,-21.884071,11.81,0.59,RC,4936,17.8,2.41,0.04,-0.534,0.0117,-0.529,0.0132,0.284,0.0125,2,15.47,1.303,13.56,12.83,0.72,0.039,23.53,0.334,,,,,2,,,,,,,,,0.14,0.042,,,-8369920390229955.0,7774657462812574.0,9.755452396677177e+34,1.1840394535013472e+35,0
220428840,2M00392033+0516240,2554559450019684352,8,9.83474,5.27336,-57.47,117.32,RGB,4946,9.7,3.19,0.024,-0.242,0.0063,-0.241,0.0072,0.085,0.0063,1,10.94,0.762,9.29,8.66,0.62,0.033,152.48,1.45,,,,,2,,,,,,,,,1.65,0.034,0.272,0.0003,-1.961,0.0011,-1.23,0.0016,1
247449409,2M05053982+2147530,3415161597812138496,13,76.415956,21.798059,-11.46,180.95,RC,4505,7.8,2.32,0.022,0.325,0.0067,0.32,0.0086,0.028,0.0048,2,14.07,0.853,11.62,10.72,0.89,0.028,31.09,0.259,3.92,0.062,1.0,0.0003,0,1.46,0.099,1.0,0.103,12.0,0.392,10.6,0.347,0.4,0.022,0.053,0.006,-2.368,0.0169,-1.171,0.0039,0
210690158,2M03454764+1813206,44705425528090624,4,56.448517,18.222412,-28.02,170.82,RC,4779,8.5,2.5,0.024,-0.243,0.0065,-0.243,0.0075,0.085,0.0061,1,10.51,0.764,8.33,7.52,0.81,0.033,40.7,1.107,4.17,0.087,0.998,0.0009,0,2.55,0.298,1.92,0.298,13.88,0.691,12.63,0.629,1.57,0.029,0.078,0.001,-1.973,0.0007,-1.264,0.0002,0
205928073,2M22101642-1707269,6826078217448578048,3,332.568418,-17.124144,-51.54,39.43,RGB,4363,6.8,1.83,0.027,-0.52,0.0077,-0.52,0.009,0.254,0.0069,2,11.85,0.798,9.82,9.06,0.76,0.031,11.89,0.148,1.84,0.023,1.036,0.0022,0,1.69,0.106,1.11,0.097,20.92,0.585,18.18,0.509,0.41,0.021,0.288,0.0005,-1.414,0.0261,-1.356,0.003,1
210472921,2M04020175+1456403,39295759600488832,4,60.507319,14.944532,-27.5,176.54,RC,4853,8.3,2.66,0.021,0.093,0.0056,0.087,0.0067,-0.005,0.0049,1,10.54,0.623,8.56,7.81,0.75,0.028,62.54,1.112,5.62,0.045,0.994,0.0124,0,2.81,0.175,2.16,0.159,11.75,0.281,10.77,0.258,1.43,0.024,0.12,0.0004,-2.006,0.0005,-1.252,0.0002,0
206070069,2M22195072-1253051,2600701142673944576,3,334.961348,-12.884763,-51.84,47.2,RC,4764,8.2,2.37,0.023,-0.128,0.0062,-0.131,0.0073,0.162,0.0056,2,10.84,0.704,9.16,8.53,0.63,0.031,27.8,0.356,4.0,0.001,0.988,0.0018,0,0.96,0.037,0.72,0.028,10.3,0.132,9.36,0.12,1.12,0.018,0.382,0.0006,-1.396,0.0078,-1.354,0.0005,0
